destino_id	condiciones	condiciones_eventos_especiales
orlando	✅ El paquete se aparta con $200 USD y el resto se puede ir pagando poco a poco hasta liquidarlo 1 mes antes de la fecha del check in. Cualquier modificación o cancelación al paquete se puede realizar antes de la fecha límite de pago.	
universal	✅ El paquete se aparta con $50 USD x persona y el resto se puede ir pagando poco a poco hasta liquidarlo 45 días antes de la fecha del check in. Cualquier modificación o cancelación al paquete se puede realizar antes de la fecha límite de pago.	
california	✅ El paquete se aparta con $200 USD y el resto se puede ir pagando poco a poco hasta liquidarlo 1 mes antes de la fecha del check in. Cualquier modificación o cancelación al paquete se puede realizar antes de la fecha límite de pago.	*STAR WARS NITE🪐* La entrada a este evento es adicional y costaría aproximadamente $200 USD x persona. Aún no tenemos los precios, pero yo les avisaría en cuanto estén disponibles
paris		
crucero-disney	✅ El apartado de cada camarote se hace realizando un pago por el 10% del total y el resto se puede ir pagando poco a poco hasta liquidarlo 3 meses antes de la fecha de embarque.\n🛂 El cliente se debe de hacer responsable de tener todos sus papeles en tiempo y forma para poder viajar. Favor de verificar que tengan su visa americana vigente y si es el caso, cualquier otro documento necesario para entrar al país destino.	
crucero-otros	✅ El apartado de cada camarote se hace realizando un pago por el 20% del total y el resto se puede ir pagando poco a poco hasta liquidarlo 3 meses antes de la fecha de embarque.\n🛂 El cliente se debe de hacer responsable de tener todos sus papeles en tiempo y forma para poder viajar. Favor de verificar que tengan su visa americana vigente y si es el caso, cualquier otro documento necesario para entrar al país destino.	
nickelodeon	Se puede apartar con $200 USD e irlo pagando poco a poco.	
xcaret	Se puede apartar con $200 USD e irlo pagando poco a poco.	
